,name,img,type,moves
0,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,"['grass', 'poison']","['razor-wind', 'swords-dance', 'cut', 'bind', 'vine-whip']"
1,ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,"['grass', 'poison']","['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt']"
2,venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,"['grass', 'poison']","['swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt']"
3,charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,['fire'],"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance']"
4,charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,['fire'],"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance']"
5,charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,"['fire', 'flying']","['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance']"
6,squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,['water'],"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle']"
7,wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,['water'],"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle']"
8,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,['water'],"['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle']"
9,caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,['bug'],"['tackle', 'string-shot', 'snore', 'bug-bite', 'electroweb']"
10,metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,['bug'],"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']"
11,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,"['bug', 'flying']","['razor-wind', 'gust', 'whirlwind', 'headbutt', 'tackle']"
12,weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,"['bug', 'poison']","['poison-sting', 'string-shot', 'bug-bite', 'electroweb']"
13,kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,"['bug', 'poison']","['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']"
14,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,"['bug', 'poison']","['swords-dance', 'cut', 'headbutt', 'fury-attack', 'take-down']"
15,pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,"['normal', 'flying']","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly']"
16,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,"['normal', 'flying']","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly']"
17,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,"['normal', 'flying']","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly']"
18,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,['normal'],"['cut', 'headbutt', 'tackle', 'body-slam', 'take-down']"
19,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,['normal'],"['swords-dance', 'cut', 'headbutt', 'tackle', 'body-slam']"
20,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,"['normal', 'flying']","['razor-wind', 'whirlwind', 'fly', 'headbutt', 'fury-attack']"
21,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,"['normal', 'flying']","['razor-wind', 'whirlwind', 'fly', 'headbutt', 'fury-attack']"
